"","Gamma","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"1374","Two",0,0.165803827129862,0.217711090949122,0.0189234465390304,0.165526014027681,0.125631689341663,0.535714285714286,0.498624481575437
"1375","Two",0,0.165803827129862,0.0725703636497075,0.0189234465390304,0.409973519596386,0.15793616592422,0.714285714285714,0.323103086329432
"1376","Two",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161168,0.607142857142857,0.44629118765199
"1377","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1378","Two",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.237554653228759,0.154709081584067,0.607142857142857,0.44629118765199
"1379","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1380","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1381","Two",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.16928642816117,0.607142857142857,0.44629118765199
"1382","Two",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814119,0.535714285714286,0.498624481575437
"1383","Two",0,3.5325278056255e-17,0.217711090949122,0.291518506572662,0.165526014027681,0.167651462711098,0.642857142857143,0.412710152927778
"1384","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.571428571428571,0.474631146549323
"1385","Two",0,0.110535884753241,0.0725703636497075,0.0295616352468366,0.0962821449966235,0.16909923764397,0.571428571428571,0.474631146549323
"1386","Two",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.237554653228759,0.202510562354129,0.607142857142857,0.44629118765199
"1387","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1388","Two",0,0.221071769506482,0.362851818248537,0.344905872070474,0.368707180952648,0.192700448855987,0.535714285714286,0.498624481575437
"1389","Two",0,0.276339711883103,0.217711090949122,0.0256724943015814,0.165526014027681,0.123004809697338,0.535714285714286,0.498624481575437
"1390","Two",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.237554653228759,0.212008024608205,0.571428571428571,0.474631146549323
"1391","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1392","Two",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"1393","Two",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.237554653228759,0.154709081584066,0.607142857142857,0.44629118765199
"1394","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.138759494972381,0.607142857142857,0.44629118765199
"1395","Two",0,0.110535884753241,0.362851818248537,0.22970989096258,0.237554653228759,0.13875949497238,0.571428571428571,0.474631146549323
"1396","Two",0,0.110535884753241,0.217711090949122,0.0657195747111194,0.165526014027681,0.114062787490967,0.535714285714286,0.498624481575437
"1397","Two",0,5.55111512312578e-17,0.217711090949122,0.291518506572663,0.165526014027681,0.167651462711097,0.678571428571429,0.372473171834246
"1398","Two",0,0.165803827129862,0.798274000146782,0.293467789161989,0.205646638110074,0.412214541356162,0.678571428571429,0.372473171834246
"1399","Two",0,0.221071769506482,0.217711090949122,0.013201131977407,0.165526014027681,0.135312905518877,0.571428571428571,0.474631146549323
"1400","Two",0,0.331607654259723,0.217711090949122,0.0199646987412085,0.165526014027681,0.146249057866441,0.571428571428571,0.474631146549323
"1401","Two",0,0.165803827129862,0.362851818248537,0.0534953693959125,0.109479545433694,0.123452578677948,0.678571428571429,0.372473171834246
