"","Rho","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"3495","Ten",0,0.466240236623081,0.16319478158059,0.194241224306529,0.460840348038359,0.191490028118848,0.0231753687762479,0.403321199860326,0.55,0.497214463005877
"3496","Ten",0,0.199817244267035,0.268105712596683,0.27748746329504,0.0352956383965157,0.136534075582406,0.131188300373763,0.267644621226073,0.7,0.34960294939005
"3497","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3498","Ten",0,0.222019160296705,0.15153801146769,0.513351807095825,0.0823789294905299,0.199123486832139,0.0350760173805275,0.327084544578517,0.7,0.34960294939005
"3499","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3500","Ten",0,0.510644068682422,0.891742913636793,0.74921615089661,0.0391769211820856,0.848250144773812,0.0363801683333091,0.781661293613498,0.6,0.459468291736341
"3501","Ten",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663782,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"3502","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3503","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3504","Ten",0,0.0444038320593411,0.559524965419164,0.0832462389885123,0.0813200418551333,0.240433054579376,0.355627630177653,0.356838764931037,0.6,0.459468291736341
"3505","Ten",0,0.288624908385717,0.209821862032187,0.804713643555617,0.062727430456826,0.167795455219993,0.0151759526334032,0.501943716723979,0.6,0.459468291736341
"3506","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475524,0.55,0.497214463005877
"3507","Ten",0,1.54197642309054e-18,0.501241114854668,0.166492477977024,0.0629734577315525,0.271501798448476,0.243532580449636,0.334927638084957,0.6,0.459468291736341
"3508","Ten",0,0.133211496178023,0.227307017201536,0.0277487463295041,0.0566428940822884,0.233805826544577,0.121183863198639,0.22692453577257,0.65,0.411636301174282
"3509","Ten",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985844,0.199123486832139,0.0311463343471446,0.612960253429637,0.6,0.459468291736341
"3510","Ten",0,0.688259396919786,0.215650247088636,0.0554974926590078,0.276241234570577,0.24144562171928,0.342030853444046,0.393855602254612,0.7,0.34960294939005
"3511","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3512","Ten",0,0.111009580148353,0.79266036767715,0.0277487463295043,0.134599767892877,0.714765258928242,0.457655727297953,0.442210308496902,0.7,0.34960294939005
"3513","Ten",0,0.177615328237364,0.227307017201536,0.0416231194942561,0.0919337009309587,0.233805826544577,0.117133749484196,0.218341319644679,0.6,0.459468291736341
"3514","Ten",0,0.111009580148353,0.192336706862838,0.13874373164752,0.00821772801253884,0.254692641765263,0.472620249512158,0.253588422966268,0.6,0.459468291736341
"3515","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3516","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3517","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3518","Ten",0,0.0444038320593411,0.16319478158059,0.277487463295041,0.287477849404203,0.191490028118848,0.0334899367289603,0.231228669477562,0.65,0.411636301174282
"3519","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3520","Ten",0,0.288624908385717,0.209821862032187,0.804713643555617,0.062727430456826,0.167795455219993,0.0151759526334032,0.501943716723979,0.6,0.459468291736341
"3521","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3522","Ten",0,0.155413412207694,0.0174851551693489,0.0971206121532642,0.229600715685621,0.155498133091557,0.0269280412700732,0.220113796229602,0.55,0.497214463005877
"3523","Ten",0,0.155413412207694,0.0174851551693489,0.0971206121532642,0.229600715685621,0.155498133091557,0.0269280412700732,0.220113796229602,0.55,0.497214463005877
"3524","Ten",0,0.466240236623081,0.16319478158059,0.194241224306529,0.460840348038359,0.191490028118848,0.0231753687762479,0.403321199860326,0.55,0.497214463005877
"3525","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3526","Ten",0,0.621653648830775,0.542039810249816,0.471728687601569,0.0619223368524009,0.670359591075177,0.0780788047537728,0.519301160061588,0.6,0.459468291736341
"3527","Ten",0,0.244221076326376,0.501241114854668,0.443979941272065,0.136825864446091,0.271501798448476,0.126874414992454,0.345163337009343,0.55,0.497214463005877
"3528","Ten",0,0.732663228979127,0.221478632145086,0.194241224306529,0.455287928135669,0.160185263912487,0.207839877675953,0.536310655144813,0.55,0.497214463005877
"3529","Ten",0,0.555047900741763,0.0407986953951474,0.0138743731647521,0.0124905028999219,0.168852307957761,0.229061677194128,0.312061040951582,0.6,0.459468291736341
"3530","Ten",0,0.0222019160296705,0.617808815983661,0.06937186582376,0.109777061138916,0.209201759690312,0.341620312145147,0.446911390220664,0.6,0.459468291736341
"3531","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3532","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3533","Ten",0,0.155413412207694,0.0174851551693489,0.0971206121532642,0.229600715685621,0.155498133091557,0.0269280412700732,0.220113796229602,0.55,0.497214463005877
"3534","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3535","Ten",0,0.288624908385717,0.209821862032187,0.804713643555617,0.062727430456826,0.167795455219993,0.0151759526334032,0.501943716723979,0.6,0.459468291736341
"3536","Ten",0,0.0444038320593411,0.559524965419164,0.0832462389885123,0.0813200418551333,0.240433054579376,0.355627630177653,0.356838764931037,0.6,0.459468291736341
"3537","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3538","Ten",0,0.0222019160296705,0.617808815983661,0.06937186582376,0.109777061138916,0.209201759690312,0.341620312145147,0.446911390220664,0.6,0.459468291736341
"3539","Ten",0,0.222019160296705,0.355531488443427,0.346859329118801,0.282396618008501,0.211509974180549,0.19651055085763,0.357180360831557,0.55,0.497214463005877
"3540","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3541","Ten",0,0.177615328237364,0.0407986953951474,0.249738716965536,0.200853885605497,0.123971957603879,0.0405243911647974,0.210487558130063,0.55,0.497214463005877
"3542","Ten",0,0.111009580148353,0.192336706862838,0.13874373164752,0.00821772801253884,0.254692641765263,0.472620249512158,0.253588422966268,0.6,0.459468291736341
"3543","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3544","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475524,0.55,0.497214463005877
"3545","Ten",0,0.199817244267035,0.268105712596683,0.27748746329504,0.0352956383965157,0.136534075582406,0.131188300373763,0.267644621226073,0.7,0.34960294939005
"3546","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3547","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3548","Ten",0,0.222019160296705,0.15153801146769,0.513351807095825,0.0823789294905299,0.199123486832139,0.0350760173805275,0.327084544578517,0.7,0.34960294939005
"3549","Ten",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985844,0.199123486832139,0.0311463343471446,0.612960253429637,0.6,0.459468291736341
"3550","Ten",0,0.444038320593411,0.221478632145086,0.0416231194942563,0.491284639292008,0.160185263912487,0.00977174748076681,0.408050179866637,0.55,0.497214463005877
"3551","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3552","Ten",0,0.266422992356046,0.15153801146769,0.95733174836789,0.0913338754985844,0.199123486832139,0.0311463343471446,0.612960253429637,0.6,0.459468291736341
"3553","Ten",0,0.288624908385717,0.244792172370884,0.180366851141776,0.0180892116479807,0.147003389170079,0.135019135332764,0.266964686909907,0.6,0.459468291736341
"3554","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475524,0.55,0.497214463005877
"3555","Ten",0,0.177615328237364,0.0407986953951474,0.249738716965536,0.200853885605497,0.123971957603879,0.0405243911647974,0.210487558130063,0.55,0.497214463005877
"3556","Ten",0,0.532845984712093,0.0174851551693489,0.166492477977024,0.0419656000166312,0.137228970319782,0.243532580449636,0.29057683345111,0.6,0.459468291736341
"3557","Ten",0,0.310826824415387,0.303076022935381,0.332984955954049,0.0468822328753034,0.115727342061799,0.122895686482575,0.322976556280176,0.6,0.459468291736341
"3558","Ten",0,0.0222019160296705,0.221478632145086,0.124869358482768,0.316754086407631,0.160185263912487,0.0198959655189845,0.208459061589617,0.65,0.411636301174282
"3559","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3560","Ten",0,0.111009580148353,0.192336706862838,0.13874373164752,0.00821772801253884,0.254692641765263,0.472620249512158,0.253588422966268,0.6,0.459468291736341
"3561","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475524,0.55,0.497214463005877
"3562","Ten",0,0.0222019160296705,0.221478632145086,0.124869358482768,0.316754086407631,0.160185263912487,0.0198959655189845,0.208459061589617,0.65,0.411636301174282
"3563","Ten",0,0.244221076326376,0.542039810249816,0.208115597471281,0.129730921924793,0.33140691567934,0.350660494948248,0.47097566127397,0.55,0.497214463005877
"3564","Ten",0,0.555047900741763,0.0407986953951474,0.0138743731647521,0.0124905028999219,0.168852307957761,0.229061677194128,0.312061040951582,0.6,0.459468291736341
"3565","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3566","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3567","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3568","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3569","Ten",0,0.222019160296705,0.15153801146769,0.513351807095825,0.0823789294905299,0.199123486832139,0.0350760173805275,0.327084544578517,0.7,0.34960294939005
"3570","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475524,0.55,0.497214463005877
"3571","Ten",0,0.177615328237364,0.565353350475614,0.13874373164752,0.166402435946099,0.318325644431228,0.334022533485857,0.407744179752748,0.6,0.459468291736341
"3572","Ten",0,0.555047900741763,0.0407986953951474,0.0138743731647521,0.0124905028999219,0.168852307957761,0.229061677194128,0.312061040951582,0.6,0.459468291736341
"3573","Ten",0,0.333028740445058,0.16319478158059,0.430105568107313,0.235436819664144,0.191490028118848,0.187819418943049,0.314650023186108,0.65,0.411636301174282
