"","Rho","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"3497","Ten",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.23755465322876,0.212008024608205,0.607142857142857,0.44629118765199
"3498","Ten",0,0.276339711883103,0.0725703636497075,0.359267577241954,0.221945524216474,0.169286428161171,0.607142857142857,0.44629118765199
"3499","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.535714285714286,0.498624481575437
"3500","Ten",0,0.110535884753241,0.0725703636497075,0.0295616352468362,0.0962821449966239,0.169099237643971,0.571428571428571,0.474631146549323
"3501","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3502","Ten",0,0.165803827129862,0.362851818248537,0.293467789161988,0.272935853564196,0.216741422701429,0.607142857142857,0.44629118765199
"3503","Ten",0,0.0552679423766206,0.653133272847367,0.241978694679964,0.260310355520566,0.285309965115101,0.607142857142857,0.44629118765199
"3504","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3505","Ten",0,0.110535884753241,0.217711090949122,0.266659053324548,0.424621993412357,0.171282890877822,0.535714285714286,0.498624481575437
"3506","Ten",0,0.221071769506482,0.362851818248537,0.187255559383891,0.23755465322876,0.16103699028122,0.571428571428571,0.474631146549323
"3507","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3508","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3509","Ten",0,0.0552679423766206,0.653133272847367,0.241978694679964,0.260310355520566,0.285309965115101,0.607142857142857,0.44629118765199
"3510","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3511","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.535714285714286,0.498624481575437
"3512","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3513","Ten",0,0.221071769506482,0.362851818248537,0.187255559383891,0.23755465322876,0.16103699028122,0.571428571428571,0.474631146549323
"3514","Ten",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064353,0.535714285714286,0.498624481575437
"3515","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.571428571428571,0.474631146549323
"3516","Ten",0,0.0552679423766206,0.507992545547952,0.278967052683221,0.182273727578033,0.210411752768274,0.642857142857143,0.412710152927779
"3517","Ten",0,0.221071769506482,0.362851818248537,0.224126225751083,0.23755465322876,0.178082384812236,0.642857142857143,0.412710152927779
"3518","Ten",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088877,0.642857142857143,0.412710152927779
"3519","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3520","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.535714285714286,0.498624481575437
