"","Method","Balance","M.Z1","M.Z2","M.Z3","SD.Z1","SD.Z2","SD.Z3","Energy","M.CG","SD.CG"
"133","MH",2,0.332196168593946,0.176143250631758,0.607695410777059,0.192472808700098,0.246516430035755,0.495554910195277,0.42157983372677,0.65,0.337474278855276
"134","MH",2,0.859214150348248,0.531321017914638,0.150256366634439,0.134236807047014,0.212956244305474,0.11251251983868,0.589850410637637,0.55,0.437797517885457
"135","MH",0,0.111009580148352,0.263979889800998,0.477905291204658,0.215517600455619,0.0821114065362624,0.200906000138159,0.277152960610888,0.65,0.411636301174282
"136","MH",0,0.155413412207693,0.203605954721437,0.11274933617142,0.0241537629925697,0.12564641236555,0.137814444752611,0.199782773872482,0.6,0.459468291736341
"137","MH",2,0.364666470787338,0.138011579137723,0.118818352846367,0.164447788977843,0.268513620694094,0.0935740768028392,0.193615600441038,0.65,0.337474278855276
"138","MH",0,0.288624908385716,0.464825767528907,0.620489846916059,0.0229860958631407,0.363631865334618,0.370267170832199,0.451538163679581,0.75,0.263523138347365
"139","MH",2,0.00499543110667663,0.165542601173851,0.147849941768428,0.290299416069996,0.152590728297979,0.087182514508756,0.205792734060443,0.6,0.394405318873308
"140","MH",2,0.264757848653821,0.0217623018062959,0.0394983539476971,0.199410860316345,0.047313659559179,0.190576988598486,0.234479810577242,0.65,0.337474278855276
"141","MH",2,0.0499543110667585,0.413136560800611,0.173631850015403,0.0799406154276104,0.0124044983827518,0.35566537052013,0.252797854749049,0.55,0.437797517885457
"142","MH",0,0.111009580148352,0.26873509360965,0.233033328531042,0.0883201893730782,0.0837575305892135,0.0569508803260086,0.261328390099087,0.75,0.263523138347365
"143","MH",2,0.309716728613903,0.198323943876277,0.44293866610601,0.156929956986921,0.125254412668567,0.139447879265307,0.335094944740336,0.5,0.471404520791032
"144","MH",0,0.310826824415387,0.202738920879687,0.497032455661147,0.320082683657072,0.0652487523984546,0.063558810417879,0.438364472168366,0.7,0.34960294939005
"145","MH",2,0.094913191026842,0.0837940635568105,0.340364749353307,0.298909284053625,0.181938139574834,0.170793101562748,0.192249191276178,0.6,0.394405318873308
"146","MH",2,0.489552248454234,0.436172378717304,0.160791785470559,0.21121227689084,0.0749715160611961,0.0978852050086687,0.32566064951789,0.55,0.437797517885457
"147","MH",2,0.207310390927048,0.195922657566457,0.0440293565065384,0.404730982618084,0.2765448397425,0.371210247104805,0.302443419094039,0.45,0.497214463005877
"148","MH",2,0.364666470787338,0.0190046047348289,0.0214562421763078,0.110694537910442,0.0403227326953484,0.122950387224619,0.234917646949241,0.6,0.394405318873308
"149","MH",2,0.0174840088733645,0.0665160530596549,0.168098243176397,0.192676184250058,0.0873787385213796,0.150392382212931,0.16417960706842,0.55,0.437797517885457
"150","MH",2,0.40962535074742,0.360402954083601,0.0646083186315053,0.0383596208011461,0.112797999588613,0.15794220282764,0.293381747310689,0.6,0.394405318873308
"151","MH",0,0.0444038320593419,0.0281922339400771,0.0148511267634342,0.098049577719489,0.163564664962214,0.0999606825206201,0.207892284159491,0.75,0.263523138347365
"152","MH",2,0.10740176879353,0.243874110775287,0.0138796868832158,0.135631069255707,0.186569053824732,0.0243807741742872,0.201673353607835,0.65,0.337474278855276
"153","MH",0,0.177615328237364,0.0387024427448897,0.601335792337601,0.144332163614498,0.223132294823476,0.443831927094397,0.374906666341382,0.75,0.263523138347365
"154","MH",0,0.421836404563739,0.545593348422637,0.261058783023893,0.0577535936659851,0.0730552175457664,0.253514034222182,0.356267320221338,0.65,0.411636301174282
"155","MH",2,0.332196168593944,0.055752602679122,0.134520330343724,0.247323534976031,0.238164754489523,0.0195006158474018,0.250699049169723,0.6,0.394405318873308
"156","MH",0,3.1147923746428e-16,0.208915407468956,0.242787335463936,0.219124650102649,0.185053634953426,0.328031187816672,0.300643035053756,0.7,0.34960294939005
"157","MH",0,0.177615328237363,0.0330575077746592,0.00376034972724043,0.417702222239331,0.169852902923382,0.0792294002300712,0.25897999438526,0.75,0.263523138347365
"158","MH",0,0.0888076641186825,0.0464465171212243,0.196283236377408,0.099748075889896,0.0732903119974692,0.21823838858102,0.199977697691552,0.65,0.411636301174282
"159","MH",2,0.242278408673778,0.123689076956674,0.0550495789528906,0.307632848278443,0.0622278670057113,0.0437901392230959,0.213682385935918,0.65,0.337474278855276
"160","MH",0,0.0444038320593419,0.0365245387856897,0.808967266664801,0.357627209489868,0.0862392664248799,0.415169069656598,0.475361096234035,0.7,0.34960294939005
"161","MH",2,0.0274748710867177,0.138120371388237,0.408509168084465,0.313412608887868,0.165550990750846,0.0852241818278117,0.273162184046326,0.6,0.394405318873308
